customer_id,name,email,sex,age,state,cheq_balance,savings_balance,credit_score,special_offer
1,Joe Saltmarshe,jsaltmarshe0@cornell.edu,Female,10,FL,7342.26,5482.87,774,TRUE
2,Ody Spadollini,ospadollini1@nationalgeographic.com,Female,14,CA,870.39,11823.74,770,TRUE
3,Barby Vardie,,Male,110,,3343.45,,583,FALSE
4,Klarika Jodrellec,kjodrellec3@1und1.de,Male,0,TX,3282.34,8564.79,605,TRUE
5,Teodora Pinkstone,tpinkstone4@huffingtonpost.com,Female,37,TX,4645.99,12826.76,608,TRUE
,Gilbertina Oddey,goddey5@ucoz.com,Male,,FL,,3493.08,551,FALSE
7,Pammi Castells,pcastells6@pinterest.com,Female,84,CA,7079.05,10845.24,826,FALSE
8,Mei Brumbie,,Male,100,CA,833.73,5229.49,559,FALSE
9,Janeta Corkitt,jcorkitt8@angelfire.com,,57,CA,,13752.86,572,TRUE
10,Kamila Campkin,,Male,,TX,7020.31,2244.34,577,TRUE
11,Isadore Lyosik,ilyosika@howstuffworks.com,Male,119,NY,8486.7,13782.01,598,TRUE
12,Evania Payler,epaylerb@bloglovin.com,Male,,CA,1062.2,16597,647,TRUE
13,Lynne Symington,lsymingtonc@dagondesign.com,,93,TX,2022.79,5392.63,633,FALSE
14,Edgar Gosalvez,,,11,TX,3410.03,7118.9,753,FALSE
15,Veronika MacFaul,vmacfaule@wikipedia.org,Male,74,FL,9353.93,19267.34,756,FALSE
16,Marcela O'Halligan,mohalliganf@github.io,Male,115,TX,9879.92,9171.9,698,FALSE
17,Fiorenze Shalcras,fshalcrasg@wufoo.com,Male,75,FL,7350.74,6870.81,625,FALSE
18,Troy Norree,tnorreeh@theglobeandmail.com,Female,37,FL,8894.22,16585.27,648,TRUE
19,Leah McAnalley,,Female,29,TX,8276.41,10042.24,757,TRUE
20,Artie Colthard,acolthardj@instagram.com,Female,40,FL,4795.99,15345.47,,FALSE
21,Clint Parradine,cparradinek@wordpress.org,Male,108,CA,3204.44,4153.18,723,FALSE
22,Saree Brooke,,Male,2,NY,1629.81,18647.78,789,FALSE
23,Thedrick Grgic,tgrgicm@ted.com,Female,98,TX,3378.08,18791.33,551,TRUE
24,Zacharias Downgate,zdowngaten@wikispaces.com,Male,85,CA,1189.22,2224.97,724,FALSE
25,Andreas Denisovich,adenisovicho@gnu.org,Male,,CA,4790.63,904.89,791,FALSE
26,Arden Dacca,adaccap@nymag.com,Female,83,CA,2815.76,3257.92,573,FALSE
27,Hobart Pikesley,hpikesleyq@google.fr,Female,63,CA,7876.68,11300.72,629,TRUE
28,Nil Pleaden,npleadenr@youku.com,Female,79,FL,7337.46,,697,FALSE
29,Marge Seine,mseines@surveymonkey.com,Male,,FL,4855.05,,770,TRUE
30,Stormi Goose,sgooset@ycombinator.com,Male,39,CA,1323.8,9942.7,673,TRUE
31,Aldridge Crawcour,,Female,96,TX,4124.35,4196.9,699,TRUE
32,Sheree MacAndie,smacandiev@mayoclinic.com,Female,42,TX,6195,12129.24,555,TRUE
33,Iolande Kinnard,,Male,119,NY,3072.57,4602.74,797,TRUE
34,Bartel McGannon,bmcgannonx@vinaora.com,Female,,TX,500.15,10284.84,687,TRUE
,Lilly Nelhams,lnelhamsy@unesco.org,Female,82,CA,9288.83,10897.04,727,FALSE
36,Guy Mattson,,Male,67,FL,3905.45,3502.53,638,FALSE
37,Dodi Ballam,,Female,70,TX,2813.97,6008.25,,FALSE
38,Allina Harvey,,Male,58,CA,2836.62,1255.74,644,FALSE
39,Dorine Feedome,dfeedome12@digg.com,Male,30,TX,601.36,16615.87,823,TRUE
40,Prinz Allan,pallan13@360.cn,Male,104,,2872.86,16269.79,794,TRUE
41,Montague Uccelli,muccelli14@mozilla.org,Female,,FL,6664.57,13784.71,667,FALSE
42,Lorita Metheringham,lmetheringham15@devhub.com,Female,27,CA,2090.05,15601.12,753,FALSE
